source_key,level,action,outcome,coremap_id,target_parent_id,name_en,name_my,official,rename,reparent,reclassify,create,notes
03_Township:79,township,update_name,renamed,6593,6594,Momauk,မိုးမောက်,True,True,False,False,False,matched_preserve_geom
03_Township:76,township,update_name,renamed,6584,6594,Mansi,မံစီ,True,True,False,False,False,matched_preserve_geom
03_Township:82,township,update_name,renamed,6685,6682,Puta-O,ပူတာအို,True,True,False,False,False,matched_preserve_geom
03_Township:84,township,update_name,renamed,6669,6682,Sumprabum,ဆွမ်ပရာဘွမ်,True,True,False,False,False,matched_preserve_geom
03_Township:75,township,update_name,renamed,6686,6682,Machanbaw,မချမ်းဘော,True,True,False,False,False,matched_preserve_geom
03_Township:81,township,update_name,renamed,6681,6682,Nawngmun,နောင်မွန်း,True,True,False,False,False,matched_preserve_geom
03_Township:74,township,update_name,renamed,6687,6682,Khaunglanhpu,ခေါင်လန်ဖူး,True,True,False,False,False,matched_preserve_geom
03_Township:92,township,update_name,renamed,5997,5999,Loikaw,လွိုင်ကော်,True,True,False,False,False,matched_preserve_geom
03_Township:89,township,update_name_and_parent,reparented,6015,5999,Demoso,ဒီးမော့ဆို,True,True,True,False,False,matched_preserve_geom
03_Township:91,township,update_name_and_parent,reparented,6013,5999,Hpruso,ဖရူဆို,True,True,True,False,False,matched_preserve_geom
03_Township:94,township,update_name,renamed,5998,5999,Shadaw,ရှားတော,True,True,False,False,False,matched_preserve_geom
03_Township:88,township,create_mimu_placeholder,renamed,6006,,Bawlake,ဘောလခဲ,True,True,False,False,False,promoted_to_match:spatial_core_id_promote
03_Township:90,township,update_name,renamed,5972,,Hpasawng,ဖားဆောင်း,True,True,False,False,False,matched_preserve_geom
03_Township:93,township,update_name,renamed,5962,,Mese,မယ်စဲ့,True,True,False,False,False,matched_preserve_geom
03_Township:96,township,update_name,renamed,5877,5878,Hpa-An,ဘားအံ,True,True,False,False,False,matched_preserve_geom
03_Township:95,township,update_name,renamed,5880,5878,Hlaingbwe,လှိုင်းဘွဲ့,True,True,False,False,False,matched_preserve_geom
03_Township:97,township,update_name,renamed,5978,5977,Hpapun,ဖာပွန်,True,True,False,False,False,matched_preserve_geom
