id,public_id,canonical_name,parent_id,parent_name,is_public_usable,verification_status,geometry_source
5022,4f9b6c81-68cf-4767-b288-6356bae45984,မော်လိုက်,5021,မော်လိုက်ခရိုင်,t,verified,
5023,77e076d0-6183-40fd-b8c2-acff13ead27a,ကျွန်းလှ,6785,ကန့်ဘလူခရိုင်,t,verified,
5030,0c1e0422-330d-4f9e-b926-17fd75d00a9c,ကော့ကရိတ်,5031,ကော့ကရိတ်ခရိုင်,t,verified,
5033,273b9ffe-f0b3-408a-a091-ac81bfd57981,မြဝတီ,5032,မြဝတီခရိုင်,t,verified,
5035,67cda726-bad7-47a7-bef8-042cd509690e,ဘုတ်ပြင်း,7438,ကော့သောင်းခရိုင်,t,verified,
5053,85b93da2-27e7-4d45-8e83-8a3539776f8f,သထုံ,5054,သထုံခရိုင်,t,verified,
5055,c74837cf-7bc6-4354-941f-f1a904529c22,ပေါင်,5054,သထုံခရိုင်,t,unverified,
5070,fe444abc-178d-449b-9a02-4bff3872dae5,မော်လမြိုင်,5099,မော်လမြိုင်ခရိုင်,t,unverified,
5091,02024cd8-8421-4c25-8e3f-bd6ecf574ed5,မာန်အောင်,7185,ကျောက်ဖြူခရိုင်,t,verified,
5098,6bdcc294-f22a-4a66-815e-2489af10ae52,ကျိုက်မရော,5099,မော်လမြိုင်ခရိုင်,t,unverified,
5108,741fa2dc-d4f8-4cac-8983-6069d8b5c88c,မုဒုံ,5099,မော်လမြိုင်ခရိုင်,t,unverified,
5110,f99e191e-9bc6-4427-a215-9969728d564f,ချောင်းဆုံ,5099,မော်လမြိုင်ခရိုင်,t,unverified,
5112,fa5a2d7d-4d4e-48b8-8c10-62cff99eefcc,ကွမ်းခြံကုန်း,12,ရန်ကုန်(တောင်ပိုင်း),t,verified,
5125,b4c491f2-1d8a-4f30-8639-7ac366139d36,ကော့မှူး,12,ရန်ကုန်(တောင်ပိုင်း),t,verified,
5133,057e8ba4-030a-4fa1-9f1b-9d925cc26199,ဒလ,12,ရန်ကုန်(တောင်ပိုင်း),t,unverified,
5142,0d929602-d3f1-4a1f-aa9f-fd3ef64a7de8,ခရမ်း,12,ရန်ကုန်(တောင်ပိုင်း),t,verified,
5144,e94864c7-fc7b-4d74-96a2-3abfd8539ecf,ကျောက်တန်း,12,ရန်ကုန်(တောင်ပိုင်း),t,unverified,
5145,7842fe11-6596-43c5-b306-6f56b8448f1e,သုံးခွ,12,ရန်ကုန်(တောင်ပိုင်း),t,verified,
5165,9be63a4e-b25b-465a-b61e-3111287d3584,ဒဂုံမြို့သစ် (အရှေ့ပိုင်း),5170,ရန်ကုန်(အရှေ့ပိုင်း),t,verified,
5199,c25fa666-5a35-4e95-af46-319665641346,ကျောက်ဖြူ,7185,ကျောက်ဖြူခရိုင်,t,verified,
5211,08d77dfd-d044-4cb2-84aa-a2078a2ccc9a,သန်လျင်,12,ရန်ကုန်(တောင်ပိုင်း),t,verified,
5213,2e3aa5eb-4216-4181-8e69-4f402561a39e,ဒဂုံမြို့သစ် (ဆိပ်ကမ်း),5170,ရန်ကုန်(အရှေ့ပိုင်း),t,unverified,
5231,13288755-ec6b-4a53-beac-6182cfa3ecf4,ဒဂုံမြို့သစ် (တောင်ပိုင်း),5170,ရန်ကုန်(အရှေ့ပိုင်း),t,verified,
5253,981e53e2-13b6-4b45-a24b-ce06ff0a1dbb,မရမ်းကုန်း,5310,ရန်ကုန်(အနောက်ပိုင်း),t,unverified,
5267,a71d3103-55b6-4018-98b2-5242a9111329,တောင်ဥက္ကလာပ,5170,ရန်ကုန်(အရှေ့ပိုင်း),t,verified,
5289,abf42aaf-b407-4556-89a8-93717aa9913e,ရန်ကင်း,5170,ရန်ကုန်(အရှေ့ပိုင်း),t,unverified,
5306,83392c94-19ce-4f51-84bc-bc9fbffd8e8f,ကမာရွတ်,5310,ရန်ကုန်(အနောက်ပိုင်း),t,verified,
5344,47c4cf97-e6e3-43e5-8112-8553a9162006,သင်္ဃန်းကျွန်း,5170,ရန်ကုန်(အရှေ့ပိုင်း),t,verified,
5388,d0b0e534-5ce8-4c30-bdde-c0c514eae4a9,သာကေတ,5170,ရန်ကုန်(အရှေ့ပိုင်း),t,unverified,
5395,905c5251-04ff-435e-8b1e-d737e8cb3d8e,ဒေါပုံ,5170,ရန်ကုန်(အရှေ့ပိုင်း),t,verified,
5425,290f5a89-7737-4a9d-9e44-677707932223,ပုဇွန်တောင်,5170,ရန်ကုန်(အရှေ့ပိုင်း),t,unverified,
5430,abd46a79-4cb3-41e2-91d3-a4490fb131b8,ကျောက်တံတား,5310,ရန်ကုန်(အနောက်ပိုင်း),t,unverified,
5446,bb244259-b620-4ff1-b66d-76cf01b66e85,ဗိုလ်တထောင်,5170,ရန်ကုန်(အရှေ့ပိုင်း),t,unverified,
5467,75ba75ce-b148-4e92-94d8-b4ffe68cea69,လသာ,5310,ရန်ကုန်(အနောက်ပိုင်း),t,unverified,
5476,286f8bc3-388a-4887-9211-547272c7cfb7,လမ်းမတော်,5310,ရန်ကုန်(အနောက်ပိုင်း),t,unverified,
5481,16ffb15f-6079-467b-9364-df84267f7cf6,ပန်းဘဲတန်း,5310,ရန်ကုန်(အနောက်ပိုင်း),t,unverified,
5494,71a6148d-74d7-4a38-bb97-13085bfbfa04,အလုံ,5310,ရန်ကုန်(အနောက်ပိုင်း),t,unverified,
5505,8a01c935-c9e1-41a9-92f9-d679efce5453,ဒဂုံ,5310,ရန်ကုန်(အနောက်ပိုင်း),t,verified,
5538,23aa94aa-5598-4b63-8514-42c8ab23553f,မင်္ဂလာတောင်ညွန့်,5170,ရန်ကုန်(အရှေ့ပိုင်း),t,unverified,
5565,5006c4f8-cd1b-4c59-a1d1-bf3a860e0250,ဗဟန်း,5310,ရန်ကုန်(အနောက်ပိုင်း),t,unverified,
5568,80e177c3-7640-4545-8b25-f7b4b96c480b,တာမွေ,5170,ရန်ကုန်(အရှေ့ပိုင်း),t,verified,
5586,5c615f68-e3c2-452f-a0d7-5e98ebd67dd5,စမ်းချောင်း,5310,ရန်ကုန်(အနောက်ပိုင်း),t,unverified,
5596,5a8f21cf-eea7-4443-93a5-83c1d4b8ec24,ကြည့်မြင်တိုင်,5310,ရန်ကုန်(အနောက်ပိုင်း),t,unverified,
5612,2ebc5cee-9e6a-4611-8848-65ea08074bbb,ဆိပ်ကြီး/ခနောင်တို,12,ရန်ကုန်(တောင်ပိုင်း),t,unverified,
5647,df5081a6-619d-49bf-83ce-c88deb4a28f8,လှိုင်,5310,ရန်ကုန်(အနောက်ပိုင်း),t,unverified,
5659,f82dcfc5-7c66-47e6-b16d-7368ddfa32ba,လှိုင်သာယာ (အရှေ့ပိုင်း),7234,ရန်ကုန်(မြောက်ပိုင်း),t,unverified,
5675,84906086-7353-41dc-b768-f3b8bbf160cd,လှိုင်သာယာ (အနောက်ပိုင်း),7234,ရန်ကုန်(မြောက်ပိုင်း),t,verified,
5690,b8f2e9b5-304a-4c38-99cc-6d44dc3ddf31,အင်းစိန်,7234,ရန်ကုန်(မြောက်ပိုင်း),t,verified,
5722,a95f905d-af9f-4bf0-8614-20c0e41fb231,ဒဂုံမြို့သစ် (မြောက်ပိုင်း),5170,ရန်ကုန်(အရှေ့ပိုင်း),t,verified,
5772,6d61699b-00df-4810-9ce3-7af5362e87d0,မြောက်ဥက္ကလာပ,5170,ရန်ကုန်(အရှေ့ပိုင်း),t,verified,
5801,ea2f6f99-7803-485a-996e-001d35727f82,မင်္ဂလာဒုံ,7234,ရန်ကုန်(မြောက်ပိုင်း),t,unverified,
5808,83fdd850-2725-4f7b-9989-3c8c740fca64,ရွှေပြည်သာ,7234,ရန်ကုန်(မြောက်ပိုင်း),t,unverified,
