source_key,level,action,outcome,coremap_id,name_en,name_my,notes
_05_Ward:331,ward_village_tract,manual_review,manual_review_remaining,,No (6) Ward,အမှတ် (၆) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:347,ward_village_tract,manual_review,manual_review_remaining,,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:348,ward_village_tract,manual_review,manual_review_remaining,,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:349,ward_village_tract,manual_review,manual_review_remaining,,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:350,ward_village_tract,manual_review,manual_review_remaining,,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:351,ward_village_tract,manual_review,manual_review_remaining,,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:352,ward_village_tract,manual_review,manual_review_remaining,,No (6) Ward,အမှတ် (၆) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_06-VillageTract:2122,ward_village_tract,manual_review,manual_review_remaining,,Aung Min Ga Lar,အောင်မင်္ဂလာ,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:374,ward_village_tract,manual_review,manual_review_remaining,,Aung Min Ga Lar Ward,အောင်မင်္ဂလာရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_06-VillageTract:2460,ward_village_tract,manual_review,manual_review_remaining,,Du Yin Pin,ဒူးရင်းပင်,Unresolved duplicate create for same normalized hierarchy path
_06-VillageTract:2461,ward_village_tract,manual_review,manual_review_remaining,,Du Yin Pin,ဒူးရင်းပင်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:447,ward_village_tract,manual_review,manual_review_remaining,,Gant Gaw Waing Ward,ဂန့်ဂေါ်ဝိုင်းရပ်ကွက်,"Multiple plausible CoreMap candidates under matched hierarchy scope: 5891,5897"
_05_Ward:501,ward_village_tract,manual_review,manual_review_remaining,,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:502,ward_village_tract,manual_review,manual_review_remaining,,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:503,ward_village_tract,manual_review,manual_review_remaining,,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:504,ward_village_tract,manual_review,manual_review_remaining,,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:496,ward_village_tract,manual_review,manual_review_remaining,,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:497,ward_village_tract,manual_review,manual_review_remaining,,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:498,ward_village_tract,manual_review,manual_review_remaining,,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:499,ward_village_tract,manual_review,manual_review_remaining,,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_06-VillageTract:2432,ward_village_tract,manual_review,manual_review_remaining,,Oke Hpyat,အုတ်ဖြတ်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:438,ward_village_tract,manual_review,manual_review_remaining,,Oke Hpyat Ward,အုတ်ဖြတ်ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_06-VillageTract:3153,ward_village_tract,manual_review,manual_review_remaining,,Kyoet Kone,ကြို့ကုန်း,Unresolved duplicate create for same normalized hierarchy path
_06-VillageTract:3154,ward_village_tract,manual_review,manual_review_remaining,,Kyoet Kone,ကြို့ကုန်း,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:557,ward_village_tract,manual_review,manual_review_remaining,,Myo Ma Ward,မြို့မရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:550,ward_village_tract,manual_review,manual_review_remaining,,Myo Ma Ward,မြို့မရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_06-VillageTract:5054,ward_village_tract,manual_review,manual_review_remaining,,Ma Gyi Kan,မကျီးကန်,Unresolved duplicate create for same normalized hierarchy path
_06-VillageTract:5055,ward_village_tract,manual_review,manual_review_remaining,,Ma Gyi Kan,မကျီးကန်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1038,ward_village_tract,manual_review,manual_review_remaining,,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1045,ward_village_tract,manual_review,manual_review_remaining,,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1046,ward_village_tract,manual_review,manual_review_remaining,,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1047,ward_village_tract,manual_review,manual_review_remaining,,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1048,ward_village_tract,manual_review,manual_review_remaining,,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1053,ward_village_tract,manual_review,manual_review_remaining,,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1054,ward_village_tract,manual_review,manual_review_remaining,,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1055,ward_village_tract,manual_review,manual_review_remaining,,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1056,ward_village_tract,manual_review,manual_review_remaining,,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1057,ward_village_tract,manual_review,manual_review_remaining,,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1086,ward_village_tract,manual_review,manual_review_remaining,,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1087,ward_village_tract,manual_review,manual_review_remaining,,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1088,ward_village_tract,manual_review,manual_review_remaining,,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1090,ward_village_tract,manual_review,manual_review_remaining,,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1091,ward_village_tract,manual_review,manual_review_remaining,,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1092,ward_village_tract,manual_review,manual_review_remaining,,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1140,ward_village_tract,manual_review,manual_review_remaining,,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1147,ward_village_tract,manual_review,manual_review_remaining,,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1148,ward_village_tract,manual_review,manual_review_remaining,,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1149,ward_village_tract,manual_review,manual_review_remaining,,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1150,ward_village_tract,manual_review,manual_review_remaining,,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1151,ward_village_tract,manual_review,manual_review_remaining,,No (6) Ward,အမှတ် (၆) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1152,ward_village_tract,manual_review,manual_review_remaining,,No (7) Ward,အမှတ် (၇) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1153,ward_village_tract,manual_review,manual_review_remaining,,No (8) Ward,အမှတ် (၈) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1154,ward_village_tract,manual_review,manual_review_remaining,,No (9) Ward,အမှတ် (၉) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1141,ward_village_tract,manual_review,manual_review_remaining,,No (10) Ward,အမှတ် (၁၀) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1142,ward_village_tract,manual_review,manual_review_remaining,,No (11) Ward,အမှတ် (၁၁) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1143,ward_village_tract,manual_review,manual_review_remaining,,No (12) Ward,အမှတ် (၁၂) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1120,ward_village_tract,manual_review,manual_review_remaining,,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1124,ward_village_tract,manual_review,manual_review_remaining,,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1125,ward_village_tract,manual_review,manual_review_remaining,,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1126,ward_village_tract,manual_review,manual_review_remaining,,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
