postal_code,source_row_count_en,source_row_count_my,region_name_en,region_name_my,township_name_en,township_name_my,locality_name_en,locality_name_my,locality_type,township_pcode,township_admin_area_id,local_pcode,local_admin_area_id,match_status,match_method,candidate_township_pcodes,candidate_local_pcodes,review_reason
0265001,1,1,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Shwe Pyi Aye Town,ရွှေပြည်အေး မြို့,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,ward,MMR005034,6701,,,ambiguous_local_admin,exact_town_to_parent_township,MMR005034,MMR005034702501;MMR005034703501,Identity is not proven; do not guess or create geometry
0265002,1,1,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Shwe Pyi Aye Town,ရွှေပြည်အေး မြို့,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,ward,MMR005034,6701,,,ambiguous_local_admin,exact_town_to_parent_township,MMR005034,MMR005034702502;MMR005034703502,Identity is not proven; do not guess or create geometry
0266001,1,1,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Myothit Town,မြို့သစ် မြို့,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,ward,MMR005030,6726,,,ambiguous_local_admin,exact_town_to_parent_township,MMR005030,MMR005030702501;MMR005030703501,Identity is not proven; do not guess or create geometry
0266002,1,1,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Myothit Town,မြို့သစ် မြို့,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,ward,MMR005030,6726,,,ambiguous_local_admin,exact_town_to_parent_township,MMR005030,MMR005030702502;MMR005030703502,Identity is not proven; do not guess or create geometry
0266003,1,1,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Myothit Town,မြို့သစ် မြို့,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,ward,MMR005030,6726,,,ambiguous_local_admin,exact_town_to_parent_township,MMR005030,MMR005030702503;MMR005030703503,Identity is not proven; do not guess or create geometry
0267001,1,1,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Khampat Town,ခါမ်းပါတ် မြို့,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,ward,MMR005030,6726,,,ambiguous_local_admin,exact_town_to_parent_township,MMR005030,MMR005030702501;MMR005030703501,Identity is not proven; do not guess or create geometry
0267002,1,1,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Khampat Town,ခါမ်းပါတ် မြို့,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,ward,MMR005030,6726,,,ambiguous_local_admin,exact_town_to_parent_township,MMR005030,MMR005030702502;MMR005030703502,Identity is not proven; do not guess or create geometry
0267003,1,1,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Khampat Town,ခါမ်းပါတ် မြို့,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,ward,MMR005030,6726,,,ambiguous_local_admin,exact_town_to_parent_township,MMR005030,MMR005030702503;MMR005030703503,Identity is not proven; do not guess or create geometry
0271001,1,1,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Kyauk Myaung Town,​ကျောက်မြောင်း မြို့,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,ward,MMR005004,6786,,,ambiguous_local_admin,exact_town_to_parent_township,MMR005004,MMR005004701501;MMR005004702501,Identity is not proven; do not guess or create geometry
0271002,1,1,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Kyauk Myaung Town,​ကျောက်မြောင်း မြို့,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,ward,MMR005004,6786,,,ambiguous_local_admin,exact_town_to_parent_township,MMR005004,MMR005004701502;MMR005004702502,Identity is not proven; do not guess or create geometry
0271003,1,1,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Kyauk Myaung Town,​ကျောက်မြောင်း မြို့,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,ward,MMR005004,6786,,,ambiguous_local_admin,exact_town_to_parent_township,MMR005004,MMR005004701503;MMR005004702503,Identity is not proven; do not guess or create geometry
0271004,1,1,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Kyauk Myaung Town,​ကျောက်မြောင်း မြို့,No (4) Quarter,အမှတ် (၄) ရပ်ကွက်,ward,MMR005004,6786,,,ambiguous_local_admin,exact_town_to_parent_township,MMR005004,MMR005004701504;MMR005004702504,Identity is not proven; do not guess or create geometry
0302001,1,1,Chin State,ချင်းပြည်နယ်,Thantlang Township,ထန်တလန် မြို့နယ်,No (1) Ward Quarter,အမှတ် (၁) ရပ်ကွက်,ward,MMR004003,6745,,,ambiguous_local_admin,exact_township_name,MMR004003,MMR004003701501;MMR004003702501,Identity is not proven; do not guess or create geometry
0302002,1,1,Chin State,ချင်းပြည်နယ်,Thantlang Township,ထန်တလန် မြို့နယ်,No (2) Ward Quarter,အမှတ် (၂) ရပ်ကွက်,ward,MMR004003,6745,,,ambiguous_local_admin,exact_township_name,MMR004003,MMR004003701502;MMR004003702502,Identity is not proven; do not guess or create geometry
0303206,1,1,Chin State,ချင်းပြည်နယ်,Falam Township,ဖလမ်း မြို့နယ်,Laizo Village Tract,လိုင်ဇိုး ကျေးရွာအုပ်စု,village_tract,MMR004001,6739,MMR004001701505,,type_conflict,exact_township_name,MMR004001,MMR004001701505,Identity is not proven; do not guess or create geometry
0307224,1,1,Chin State,ချင်းပြည်နယ်,Mindat Township,မင်းတပ် မြို့နယ်,M'kuiimnu Village Tract,မကွီအိမ်နူး ကျေးရွာအုပ်စု,village_tract,MMR004006,6943,MMR004006702501,,type_conflict,exact_township_name,MMR004006,MMR004006702501,Identity is not proven; do not guess or create geometry
0309200,1,1,Chin State,ချင်းပြည်နယ်,Paletwa Township,ပလက်ဝ မြို့နယ်,Kin Wa Village Tract,ကင်ဝ ကျေးရွာအုပ်စု,village_tract,MMR004009,6941,MMR004009701504,,type_conflict,exact_township_name,MMR004009,MMR004009701504,Identity is not proven; do not guess or create geometry
0309205,1,1,Chin State,ချင်းပြည်နယ်,Paletwa Township,ပလက်ဝ မြို့နယ်,Thea Ma Wa Village Tract,သဲမဝ ကျေးရွာအုပ်စု,village_tract,MMR004009,6941,,,ambiguous_local_admin,exact_township_name,MMR004009,MMR004009006;MMR004009039,Identity is not proven; do not guess or create geometry
0309238,1,1,Chin State,ချင်းပြည်နယ်,Paletwa Township,ပလက်ဝ မြို့နယ်,Thea Ma Wa Village Tract,သဲမဝ ကျေးရွာအုပ်စု,village_tract,MMR004009,6941,,,ambiguous_local_admin,exact_township_name,MMR004009,MMR004009006;MMR004009039,Identity is not proven; do not guess or create geometry
0361001,1,1,Chin State,ချင်းပြည်နယ်,Hnaring Town,နှာဟရိန် မြို့,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,ward,MMR004003,6745,,,ambiguous_local_admin,exact_town_to_parent_township,MMR004003,MMR004003701501;MMR004003702501,Identity is not proven; do not guess or create geometry
0361002,1,1,Chin State,ချင်းပြည်နယ်,Hnaring Town,နှာဟရိန် မြို့,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,ward,MMR004003,6745,,,ambiguous_local_admin,exact_town_to_parent_township,MMR004003,MMR004003701502;MMR004003702502,Identity is not proven; do not guess or create geometry
0402001,1,1,Magway Region,မကွေးတိုင်းဒေသကြီး,Minbu Township,မင်းဘူး မြို့နယ်,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,ward,MMR009007,7018,,,ambiguous_local_admin,exact_township_name,MMR009007,MMR009007701501;MMR009007702501,Identity is not proven; do not guess or create geometry
0402002,1,1,Magway Region,မကွေးတိုင်းဒေသကြီး,Minbu Township,မင်းဘူး မြို့နယ်,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,ward,MMR009007,7018,,,ambiguous_local_admin,exact_township_name,MMR009007,MMR009007701502;MMR009007702502,Identity is not proven; do not guess or create geometry
0402003,1,1,Magway Region,မကွေးတိုင်းဒေသကြီး,Minbu Township,မင်းဘူး မြို့နယ်,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,ward,MMR009007,7018,,,ambiguous_local_admin,exact_township_name,MMR009007,MMR009007701503;MMR009007702503,Identity is not proven; do not guess or create geometry
0404222,1,1,Magway Region,မကွေးတိုင်းဒေသကြီး,Salin Township,စလင်း မြို့နယ်,Myay Mi Kone Village Tract,မြေမိကုန်း ကျေးရွာအုပ်စု,village_tract,MMR009010,7033,MMR009010701507,,type_conflict,exact_township_name,MMR009010,MMR009010701507,Identity is not proven; do not guess or create geometry
0415200,1,1,Magway Region,မကွေးတိုင်းဒေသကြီး,Aunglan Township,အောင်လံ မြို့နယ်,Ywar Htaung Village Tract,ရွာထောင် ကျေးရွာအုပ်စု,village_tract,MMR009016,7123,MMR009016701509,7124,type_conflict,exact_township_name,MMR009016,MMR009016701509,Identity is not proven; do not guess or create geometry
0417001,1,1,Magway Region,မကွေးတိုင်းဒေသကြီး,Chauk Township,ချောက် မြို့နယ်,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,ward,MMR009003,7031,,,ambiguous_local_admin,exact_township_name,MMR009003,MMR009003701501;MMR009003702501,Identity is not proven; do not guess or create geometry
0417002,1,1,Magway Region,မကွေးတိုင်းဒေသကြီး,Chauk Township,ချောက် မြို့နယ်,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,ward,MMR009003,7031,,,ambiguous_local_admin,exact_township_name,MMR009003,MMR009003701502;MMR009003702502,Identity is not proven; do not guess or create geometry
0417003,1,1,Magway Region,မကွေးတိုင်းဒေသကြီး,Chauk Township,ချောက် မြို့နယ်,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,ward,MMR009003,7031,,,ambiguous_local_admin,exact_township_name,MMR009003,MMR009003701503;MMR009003702503,Identity is not proven; do not guess or create geometry
0417004,1,1,Magway Region,မကွေးတိုင်းဒေသကြီး,Chauk Township,ချောက် မြို့နယ်,No (4) Quarter,အမှတ် (၄) ရပ်ကွက်,ward,MMR009003,7031,,,ambiguous_local_admin,exact_township_name,MMR009003,MMR009003701504;MMR009003702504,Identity is not proven; do not guess or create geometry
0417005,1,1,Magway Region,မကွေးတိုင်းဒေသကြီး,Chauk Township,ချောက် မြို့နယ်,No (5) Quarter,အမှတ် (၅) ရပ်ကွက်,ward,MMR009003,7031,,,ambiguous_local_admin,exact_township_name,MMR009003,MMR009003701505;MMR009003702505,Identity is not proven; do not guess or create geometry
0417202,1,1,Magway Region,မကွေးတိုင်းဒေသကြီး,Chauk Township,ချောက် မြို့နယ်,Ma Gyi Kan Village Tract,မကျီးကန် ကျေးရွာအုပ်စု,village_tract,MMR009003,7031,,,ambiguous_local_admin,exact_township_name,MMR009003,MMR009003003;MMR009003051,Identity is not proven; do not guess or create geometry
0417250,1,1,Magway Region,မကွေးတိုင်းဒေသကြီး,Chauk Township,ချောက် မြို့နယ်,Ma Gyi Kan Village Tract,မကျီးကန် ကျေးရွာအုပ်စု,village_tract,MMR009003,7031,,,ambiguous_local_admin,exact_township_name,MMR009003,MMR009003003;MMR009003051,Identity is not proven; do not guess or create geometry
0418232,1,1,Magway Region,မကွေးတိုင်းဒေသကြီး,Yesagyo Township,ရေစကြို မြို့နယ်,Myay Hpyu Village Tract,မြေဖြူ ကျေးရွာအုပ်စု,village_tract,MMR009019,6883,,,ambiguous_local_admin,exact_township_name,MMR009019,MMR009019033;MMR009019074,Identity is not proven; do not guess or create geometry
0418273,1,1,Magway Region,မကွေးတိုင်းဒေသကြီး,Yesagyo Township,ရေစကြို မြို့နယ်,Myay Hpyu Village Tract,မြေဖြူ ကျေးရွာအုပ်စု,village_tract,MMR009019,6883,,,ambiguous_local_admin,exact_township_name,MMR009019,MMR009019033;MMR009019074,Identity is not proven; do not guess or create geometry
