postal_code,region_name_en,region_name_my,township_name_en,township_name_my,locality_name_en,locality_name_my,locality_type,township_admin_area_id,local_admin_area_id,match_status,match_method,review_reason
0206001,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Paungbyin Township,ဖောင်းပြင် မြို့နယ်,Kyun Shwe War Quarter,ကျွန်းရွှေဝါ ရပ်ကွက်,ward,6715,6714,linked_local_area,exact_local_under_township,Unique local admin under matched township
0206002,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Paungbyin Township,ဖောင်းပြင် မြို့နယ်,In Gyin Myaing Quarter,အင်ကြင်းမြိုင် ရပ်ကွက်,ward,6715,6716,linked_local_area,exact_local_under_township,Unique local admin under matched township
0207001,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Tamu Township,တမူး မြို့နယ်,Tamu Myo Ma Quarter,တမူးမြို့မ ရပ်ကွက်,ward,6726,6730,linked_local_area,exact_local_under_township,Unique local admin under matched township
0207002,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Tamu Township,တမူး မြို့နယ်,Zay Tan Quarter,ဈေးတန်း ရပ်ကွက်,ward,6726,6719,linked_local_area,exact_local_under_township,Unique local admin under matched township
0207003,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Tamu Township,တမူး မြို့နယ်,San Da Ku Quarter,စန္ဒကူး ရပ်ကွက်,ward,6726,6705,linked_local_area,exact_local_under_township,Unique local admin under matched township
0207004,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Tamu Township,တမူး မြို့နယ်,Saw Bwar Inn Quarter,စော်ဘွားအင်း ရပ်ကွက်,ward,6726,6729,linked_local_area,exact_local_under_township,Unique local admin under matched township
0212001,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Kani Township,ကနီ မြို့နယ်,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,ward,6805,6802,linked_local_area,exact_local_under_township,Unique local admin under matched township
0212002,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Kani Township,ကနီ မြို့နယ်,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,ward,6805,6801,linked_local_area,exact_local_under_township,Unique local admin under matched township
0212003,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Kani Township,ကနီ မြို့နယ်,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,ward,6805,6803,linked_local_area,exact_local_under_township,Unique local admin under matched township
0212230,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Kani Township,ကနီ မြို့နယ်,No (3) Ward Village Tract,တဇယ်ချောင် ကျေးရွာအုပ်စု,ward,6805,6803,linked_local_area,exact_local_under_township,Unique local admin under matched township
0216001,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Pinlebu Township,ပင်လည်ဘူး မြို့နယ်,Moe Kaung Quarter,မိုးကောင်း ရပ်ကွက်,ward,6707,6710,linked_local_area,exact_local_under_township,Unique local admin under matched township
0216002,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Pinlebu Township,ပင်လည်ဘူး မြို့နယ်,Myo Ma Quarter,မြို့မ ရပ်ကွက်,ward,6707,6708,linked_local_area,exact_local_under_township,Unique local admin under matched township
