postal_code,action,region_name_en,region_name_my,township_name_en,township_name_my,locality_name_en,locality_name_my,inferred_locality_type,matched_township_coremap_id,matched_local_coremap_id,match_method,confidence,source_row_count_en,source_row_count_my,duplicate_extra_source_rows,review_reason
0101227,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Nyaung Pin Thar Village Tract,ညောင်ပင်သာ ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0101228,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Waing Lon Village Tract,ဝိုင်းလုံ ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0101229,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Tar Hoe Nar Village Tract,တာဟိုးနား ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102001,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,ward,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102002,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,ward,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102003,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,ward,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102004,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,No (4) Quarter,အမှတ် (၄) ရပ်ကွက်,ward,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102200,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,In Jun Ga Village Tract,အင်ဂျွန်ဂါး ကျေးရွာအုပ်စု,village_tract,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102201,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,Shagri Bum Village Tract,ရှဂရီဘွမ် ကျေးရွာအုပ်စု,village_tract,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102202,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,Mai Rawn Village Tract,မိုင်ရွန်း ကျေးရွာအုပ်စု,village_tract,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102203,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,Ma Htum Village Tract,မထွမ် ကျေးရွာအုပ်စု,village_tract,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102204,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,Sam Hpum Ga Village Tract,ဆမ်ဖွမ်ဂါး ကျေးရွာအုပ်စု,village_tract,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102205,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,In Dung Yang Village Tract,အင်ဒုံးယန် ကျေးရွာအုပ်စု,village_tract,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102206,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,Hpon Gan Village Tract,ဖုန်ဂန် ကျေးရွာအုပ်စု,village_tract,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102207,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,Sut Mar Tu Village Tract,ဆွပ်မာတူ ကျေးရွာအုပ်စု,village_tract,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102208,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,Sa Law Ding Sar Village Tract,ဆလော်ဒိန်ဆာ ကျေးရွာအုပ်စု,village_tract,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102209,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,Sha Dan Lawt Khum Village Tract,ရှဒန်လော့ခွမ် ကျေးရွာအုပ်စု,village_tract,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102210,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,In Man Hka Jang Village Tract,အင်မန်ခဂျန် ကျေးရွာအုပ်စု,village_tract,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102211,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,In Hpyin Ga Village Tract,အင်ဖျင်ဂါး ကျေးရွာအုပ်စု,village_tract,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102212,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,Mai Taung Village Tract,မိုင်တောင် ကျေးရွာအုပ်စု,village_tract,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102213,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,Sha Ga Ri Ka Htaung Village Tract,ရှဂရီကထောင် ကျေးရွာအုပ်စု,village_tract,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102214,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,Shin Kun (Kying Htaung Ga) Village Tract,ရှင်ကွန် (ကျိန်ထောင်ဂါး) ကျေးရွာအုပ်စု,village_tract,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102215,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,Tsum Dwar Ga Village Tract,ဆွမ်ဒွါဂါး ကျေးရွာအုပ်စု,village_tract,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
