duplicate_kind,source_key,source_level,source_name_en,source_name_my,parent_path,coremap_ids,review_reason
repeated_create_same_normalized_path,_05_Ward:1417;_05_Ward:1413,ward_village_tract,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,state_region:MMR010:Mandalay > district:MMR010D005:Nyaung-U > township:MMR010022:Nyaung-U > ward_village_tract:MMR010022701501:No (1) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:1418;_05_Ward:1414,ward_village_tract,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,state_region:MMR010:Mandalay > district:MMR010D005:Nyaung-U > township:MMR010022:Nyaung-U > ward_village_tract:MMR010022701502:No (2) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:1419;_05_Ward:1415,ward_village_tract,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,state_region:MMR010:Mandalay > district:MMR010D005:Nyaung-U > township:MMR010022:Nyaung-U > ward_village_tract:MMR010022701503:No (3) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:1420;_05_Ward:1416,ward_village_tract,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,state_region:MMR010:Mandalay > district:MMR010D005:Nyaung-U > township:MMR010022:Nyaung-U > ward_village_tract:MMR010022701504:No (4) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_06-VillageTract:8005;_05_Ward:1520,ward_village_tract,Ah Hta Yan,အထရံ,state_region:MMR011:Mon > district:MMR011D001:Mawlamyine > township:MMR011002:Kyaikmaraw > ward_village_tract:MMR011002002:Ah Hta Yan,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:1606;_05_Ward:1604,ward_village_tract,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,state_region:MMR011:Mon > district:MMR011D001:Mawlamyine > township:MMR011006:Ye > ward_village_tract:MMR011006702501:No (1) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:1607;_05_Ward:1605,ward_village_tract,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,state_region:MMR011:Mon > district:MMR011D001:Mawlamyine > township:MMR011006:Ye > ward_village_tract:MMR011006702502:No (2) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_06-VillageTract:8740;_06-VillageTract:8741,ward_village_tract,Sa Par Seik,စပါးဆိပ်,state_region:MMR012:Rakhine > district:MMR012D005:Mrauk-U > township:MMR012004:Kyauktaw > ward_village_tract:MMR012004002:Sa Par Seik,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_06-VillageTract:8733;_05_Ward:1729,ward_village_tract,Paik Thei,ပိုက်သည်,state_region:MMR012:Rakhine > district:MMR012D005:Mrauk-U > township:MMR012004:Kyauktaw > ward_village_tract:MMR012004042:Paik Thei,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_06-VillageTract:8811;_05_Ward:1754,ward_village_tract,Myaw Chaung,မြောချောင်း,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009015:Myaw Chaung,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:1733;_05_Ward:1751,ward_village_tract,Ah Shey Paing Ward,အရှေ့ပိုင်းရပ်ကွက်,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009703501:Ah Shey Paing Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
