source_ts_pcode,source_ts_name,source_st_pcode,source_st_name,source_dt_pcode,source_dt_name,boundary_count,village_count,status,core_township_id,core_public_id,core_canonical_name,match_method,candidate_coremap_ids,evidence,review_reason
MMR017015,Einme,MMR017,Ayeyarwady,MMR017D003,Myaungmya,103,464,mapped,7326,af8b7d53-f2b7-45de-a5cc-f1259bc0924a,အိမ်မဲ,name,7326,exact_normalized_en=[7326]|spatial_support=7326:1.00;7344:0.10;7323:0.08;7286:0.07;7335:0.05,
MMR017016,Labutta,MMR017,Ayeyarwady,MMR017D004,Labutta,79,506,mapped,7374,96c0f1e6-4ed8-4125-91b5-29c9320f6c01,လပွတ္တာ,name,7374,exact_normalized_en=[7374]|spatial_support=7374:1.00;7335:0.03;7392:0.01,
MMR017017,Wakema,MMR017,Ayeyarwady,MMR017D003,Myaungmya,128,517,mapped,7323,c245a4d4-9f3f-4b05-a8ef-9328b86530a4,ဝါးခယ်မ,name,7323,exact_normalized_en=[7323]|spatial_support=7323:1.00;7326:0.10;7392:0.08;7335:0.05;7525:0.01,
MMR017018,Mawlamyinegyun,MMR017,Ayeyarwady,MMR017D004,Labutta,123,597,mapped,7392,51773fa5-fde7-4c90-8c7b-b20a7b4c5cf6,မော်လမြိုင်ကျွန်း,name,7392,exact_normalized_en=[7392]|spatial_support=7392:1.00;7323:0.17;7309:0.02,
MMR017019,Maubin,MMR017,Ayeyarwady,MMR017D005,Maubin,89,360,mapped,7525,01ce4309-c29b-4799-b4de-daee84e99ba4,မအူပင်,name,7525,exact_normalized_en=[7525]|spatial_support=7525:0.98;7309:0.20;7300:0.02;7524:0.01;5659:0.01,
MMR017020,Pantanaw,MMR017,Ayeyarwady,MMR017D005,Maubin,57,366,mapped,7332,f860b744-d489-43d5-9d64-db893de498c3,ပန်းတနော်,name,7332,exact_normalized_en=[7332]|spatial_support=7332:1.00;7286:0.09;7524:0.07;7295:0.04;7282:0.02,
MMR017021,Nyaungdon,MMR017,Ayeyarwady,MMR017D005,Maubin,55,289,mapped,7524,7f3491b6-d8c4-4539-99b5-c56c9a9412d4,ညောင်တုန်း,name,7524,exact_normalized_en=[7524]|spatial_support=7524:1.00;7295:0.10;7298:0.10;7332:0.04;5675:0.03,
MMR017022,Danubyu,MMR017,Ayeyarwady,MMR017D005,Maubin,82,405,mapped,7295,da4ff5bf-c34c-4316-be20-20173fa9c4d6,ဓနုဖြူ,name,7295,exact_normalized_en=[7295]|spatial_support=7295:1.00;7259:0.14;7282:0.07;7524:0.01;7332:0.01,
MMR017023,Pyapon,MMR017,Ayeyarwady,MMR017D006,Pyapon,74,242,mapped,7375,80e32d07-58e8-49d5-b202-e8810dea971c,ဖျာပုံ,name,7375,exact_normalized_en=[7375]|spatial_support=7375:1.00;7427:0.19;7309:0.07;7376:0.06,
MMR017024,Bogale,MMR017,Ayeyarwady,MMR017D006,Pyapon,92,558,mapped,7376,357de554-ea71-462d-b3b0-76b4508b2792,ဘိုကလေး,name,7376,exact_normalized_en=[7376]|spatial_support=7376:1.00;7392:0.10;7309:0.06;7375:0.04;7427:0.01,
