source_key,source_row_number,source_sheet,hierarchy_level,source_subtype,source_official,source_gad_status,source_name_en,source_name_my,source_parent_path,matched_coremap_id,existing_coremap_path,existing_canonical_name,existing_parent_id,target_parent_coremap_id,target_parent_path,action,confidence,name_evidence,hierarchy_evidence,spatial_evidence,preserve_existing_geom,manual_review_reason,review_notes,candidate_coremap_ids,mimu_comparison_geometry_available,audit_only_source_pcode,audit_only_parent_pcode
_06-VillageTract:8855,8855,_06-VillageTract,ward_village_tract,village_tract,True,Active,Yae Khat Chaung Gwa Son,ရေခပ်ချောင်းခွဆုံ,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009041:Yae Khat Chaung Gwa Son,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009041,MMR012009
_06-VillageTract:8777,8777,_06-VillageTract,ward_village_tract,village_tract,True,Active,Dar Gyi Zar,ဒါးကြီးဇား,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009042:Dar Gyi Zar,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009042,MMR012009
_06-VillageTract:8822,8822,_06-VillageTract,ward_village_tract,village_tract,True,Active,Ngan Chaung,ငန်းချောင်း,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009043:Ngan Chaung,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009043,MMR012009
_06-VillageTract:8812,8812,_06-VillageTract,ward_village_tract,village_tract,True,Active,Myaw Taung,မြောတောင်,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009044:Myaw Taung,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009044,MMR012009
_06-VillageTract:8782,8782,_06-VillageTract,ward_village_tract,village_tract,True,Active,Hpar Wut Chaung (Ywar Thit),ဖားဝတ်ချောင်း (ရွာသစ်),state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009045:Hpar Wut Chaung (Ywar Thit),,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009045,MMR012009
_06-VillageTract:8842,8842,_06-VillageTract,ward_village_tract,village_tract,True,Active,Tha Yet Oke,သရက်အုပ်,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009046:Tha Yet Oke,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009046,MMR012009
_06-VillageTract:8807,8807,_06-VillageTract,ward_village_tract,village_tract,True,Active,Maung Hnit Ma,မောင်နှမ,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009047:Maung Hnit Ma,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009047,MMR012009
_06-VillageTract:8797,8797,_06-VillageTract,ward_village_tract,village_tract,True,Active,Kyauk Pyin Seik,ကျောက်ပြင်ဆိပ်,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009048:Kyauk Pyin Seik,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009048,MMR012009
_06-VillageTract:8850,8850,_06-VillageTract,ward_village_tract,village_tract,True,Active,Thu U Lar,သူဦးလာ,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009049:Thu U Lar,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009049,MMR012009
_06-VillageTract:8834,8834,_06-VillageTract,ward_village_tract,village_tract,True,Active,Shwe Zar Kat Pa Kaung,ရွှေဇားကပ္ပကောင်း,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009050:Shwe Zar Kat Pa Kaung,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009050,MMR012009
_06-VillageTract:8800,8800,_06-VillageTract,ward_village_tract,village_tract,True,Active,Kyee Kan Pyin,ကျီးကန်းပြင်,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009051:Kyee Kan Pyin,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009051,MMR012009
_06-VillageTract:8780,8780,_06-VillageTract,ward_village_tract,village_tract,True,Active,Hla Poe Khaung,လှပိုးခေါင်,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009052:Hla Poe Khaung,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009052,MMR012009
_06-VillageTract:8795,8795,_06-VillageTract,ward_village_tract,village_tract,True,Active,Kyauk Hlay Kar,ကျောက်လှေကား,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009053:Kyauk Hlay Kar,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009053,MMR012009
_06-VillageTract:8846,8846,_06-VillageTract,ward_village_tract,village_tract,True,Active,Thet Kay Pyin,သက်ကေပြင်,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009054:Thet Kay Pyin,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009054,MMR012009
_06-VillageTract:8865,8865,_06-VillageTract,ward_village_tract,village_tract,True,Active,Zin Paing Nyar,ဇင်ပိုင်ညာ,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009055:Zin Paing Nyar,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009055,MMR012009
_06-VillageTract:8809,8809,_06-VillageTract,ward_village_tract,village_tract,True,Active,Min Ga Lar Gyi (Pyin Hpyu),မင်္ဂလာကြီး (ပြင်ဖြူ),state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009056:Min Ga Lar Gyi (Pyin Hpyu),,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009056,MMR012009
_06-VillageTract:8824,8824,_06-VillageTract,ward_village_tract,village_tract,True,Active,Nwar Yon Taung,နွားရုံတောင်,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009057:Nwar Yon Taung,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009057,MMR012009
_06-VillageTract:8787,8787,_06-VillageTract,ward_village_tract,village_tract,True,Active,Ka Nyin Taw,ကညင်တော,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009058:Ka Nyin Taw,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009058,MMR012009
_06-VillageTract:8829,8829,_06-VillageTract,ward_village_tract,village_tract,True,Active,Paung Zar,ပေါင်းဇား,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009059:Paung Zar,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009059,MMR012009
_06-VillageTract:8847,8847,_06-VillageTract,ward_village_tract,village_tract,True,Active,Thi Ho Kyun,သီဟိုဠ်ကျွန်း,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009060:Thi Ho Kyun,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009060,MMR012009
_06-VillageTract:8817,8817,_06-VillageTract,ward_village_tract,village_tract,False,Inactive,Myo U,မြို့ဦး,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009061:Myo U,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,mark_reference_only,100,none,strict_parent_core=6966;strict_candidate_pool=6,none,False,,Non-official MIMU row with no CoreMap match; do not create official placeholder,,False,MMR012009061,MMR012009
_06-VillageTract:8786,8786,_06-VillageTract,ward_village_tract,village_tract,False,Inactive,Ka Nyin Tan (a) Myo Ma Ka Nyin Tan,ကညင်တန်း(ခ)မြို့မကညင်တန်း,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009062:Ka Nyin Tan (a) Myo Ma Ka Nyin Tan,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,mark_reference_only,100,none,strict_parent_core=6966;strict_candidate_pool=6,none,False,,Non-official MIMU row with no CoreMap match; do not create official placeholder,,False,MMR012009062,MMR012009
_06-VillageTract:8816,8816,_06-VillageTract,ward_village_tract,village_tract,False,Inactive,Myo Thu Gyi,မြို့သူကြီး,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009063:Myo Thu Gyi,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,mark_reference_only,100,none,strict_parent_core=6966;strict_candidate_pool=6,none,False,,Non-official MIMU row with no CoreMap match; do not create official placeholder,,False,MMR012009063,MMR012009
