coremap_id,public_id,canonical_name,settlement_type,township_id,name_en,name_mm,lon,lat,reason
158864,0eaee879-8b10-4ec4-8018-1f8f692dc343,岗岩,village,6441,,,98.57226530,23.45830700,No MIMU village source matched this CoreMap settlement under an approved township
158865,33e55a1e-e04b-4804-ac29-ddb0f35e923f,南伦,village,6441,,,98.59223450,23.44209330,No MIMU village source matched this CoreMap settlement under an approved township
158866,c033345a-3a61-4096-8273-c2efaa92d9d2,南班,village,6441,,,98.73750170,23.44578360,No MIMU village source matched this CoreMap settlement under an approved township
158867,75be8dfe-6351-414a-9a55-de25091cd02a,康木,village,6523,,,97.39774760,22.31314700,No MIMU village source matched this CoreMap settlement under an approved township
158869,59b89b45-6f95-439e-bf96-fb05c1aaa406,弄拐,village,6468,,,97.62042700,22.75247550,No MIMU village source matched this CoreMap settlement under an approved township
158890,41119e7d-b53f-4d43-b193-9404d4f5fe73,莱护寺,village,6412,,,98.57266980,23.99355430,No MIMU village source matched this CoreMap settlement under an approved township
158891,440644ab-2cea-4377-bf31-e0bea54c0c43,洼子寨,village,6412,,,98.57702990,24.00007450,No MIMU village source matched this CoreMap settlement under an approved township
158892,7bb3fbc4-3609-40f2-ad46-790ec1ed1f59,莱护掌,village,6412,,,98.57849600,23.99301370,No MIMU village source matched this CoreMap settlement under an approved township
158893,99a05919-c5e7-4063-9826-42e2d9b66ec5,မာကျီးကျိုင်း,village,6412,Ma Jee Keng,မာကျီးကျိုင်း,98.58869660,23.90574300,No MIMU village source matched this CoreMap settlement under an approved township
158894,3bcdc816-2eb5-4fce-ab37-36a125f2b934,白石头旧寨,village,6412,,,98.51622760,23.99226040,No MIMU village source matched this CoreMap settlement under an approved township
158895,dca34586-402d-4223-83b7-4ce025a6bbfc,老普寨,village,6412,,,98.51359430,23.99286060,No MIMU village source matched this CoreMap settlement under an approved township
158896,5f0512f4-2d2a-411e-9caf-03d0b84ef90d,荒田寨,village,6412,,,98.51468630,23.98958650,No MIMU village source matched this CoreMap settlement under an approved township
158897,e5db3500-4c90-40dd-b37c-68b45ca64122,新寨,village,6412,,,98.49584600,23.94787830,No MIMU village source matched this CoreMap settlement under an approved township
158898,9cd94139-21a1-48c6-9345-52977a2f30fc,大旧寨,village,6412,,,98.47101510,23.98402180,No MIMU village source matched this CoreMap settlement under an approved township
158899,61f186e3-f22c-4776-9ec5-fc7fd9e13cca,江眼睛,village,6412,,,98.45221180,23.98658530,No MIMU village source matched this CoreMap settlement under an approved township
158900,f871c9d3-c0f5-4e7b-aae8-9f4222813740,白石林,village,6412,,,98.48546930,23.94409080,No MIMU village source matched this CoreMap settlement under an approved township
