admin_public_id,language_code,alias_name,normalized_alias,preserve_primary,replace_primary,source_postal_code,reason,manifest_version,production_apply
e6fbce9a-110e-467e-a403-e47d9abff9cf,en,Hpung Ing Hku Village Tract,hpunginghku,true,false,0106203,postal EN spelling not in primary/alias set,v3,false
d42302ac-d846-4117-908a-79357dc27ab4,en,In Yam Ga Village Tract,inyamga,true,false,0106204,postal EN spelling not in primary/alias set,v3,false
03d7d6c0-0c46-4b72-8336-b68e10dc2682,en,Sai Ran Village Tract,sairan,true,false,0106209,postal EN spelling not in primary/alias set,v3,false
c579761b-355c-4b2e-affc-ca60eb8a1db0,en,Shakram Ga Village Tract,shakramga,true,false,0106210,postal EN spelling not in primary/alias set,v3,false
3fc4a1b2-2816-4e2b-bbe2-f147413d1aa5,en,Khin Du Yang Village Tract,khinduyang,true,false,0106212,postal EN spelling not in primary/alias set,v3,false
482fd95a-9da7-4d82-aa7d-0f07ba74eb21,en,Lon Wan Village Tract,lonwan,true,false,0106224,postal EN spelling not in primary/alias set,v3,false
bf7aa5b3-9d66-4672-a935-22a3c3ca663b,en,Laung Hpant Village Tract,launghpant,true,false,0107204,postal EN spelling not in primary/alias set,v3,false
a5d038af-59dc-45e6-a25a-71a4d8772e1f,en,Nam Maw Zup Village Tract,nammawzup,true,false,0107210,postal EN spelling not in primary/alias set,v3,false
ae1bf77b-62e6-4f56-98ee-ffb560182976,en,Ngwa Hpa Hkar Village Tract,ngwahpahkar,true,false,0107238,postal EN spelling not in primary/alias set,v3,false
e7dea8b5-ed22-45e1-b418-315eb45913a2,en,Kan Hpan Village Tract,kanhpan,true,false,0107239,postal EN spelling not in primary/alias set,v3,false
af7c5e15-33f5-4864-bd9c-5dc3712594fb,en,Hkat Cho Village Tract,hkatcho,true,false,0108202,postal EN spelling not in primary/alias set,v3,false
36cc3895-3df6-45ba-8794-22fd13e6491a,en,Nawng Chein Village Tract,nawngchein,true,false,0108213,postal EN spelling not in primary/alias set,v3,false
5adaa45e-fa0f-43c6-99f4-79e756a7facf,en,Ga Ra Yang Village Tract,garayang,true,false,0108222,postal EN spelling not in primary/alias set,v3,false
16a18788-1c00-4d4c-a501-59b01275f553,en,Sai Law Village Tract,sailaw,true,false,0108225,postal EN spelling not in primary/alias set,v3,false
ada1f725-0be6-4019-9d02-3f9a83e4081d,en,Nawng Lon Kawng Ra Village Tract,nawnglonkawngra,true,false,0109202,postal EN spelling not in primary/alias set,v3,false
8bf5faf9-1285-474f-ae9e-3cdca0aaf39c,en,Shin Lon Ga Village Tract,shinlonga,true,false,0109205,postal EN spelling not in primary/alias set,v3,false
da1078f6-c9ec-45d0-98bc-e7021087b3c1,en,Ah Le Quarter,ahle,true,false,0110003,postal EN spelling not in primary/alias set,v3,false
2c7cf9ed-2677-4b74-ad14-71a3b76a16d4,en,Nam Khwin Village Tract,namkhwin,true,false,0110228,postal EN spelling not in primary/alias set,v3,false
5602598b-7c17-4aa2-bd9c-b8a673d6199b,en,See Din Yang Village Tract,seedinyang,true,false,0110233,postal EN spelling not in primary/alias set,v3,false
b9236327-e65f-44f2-9f57-a29c2ab68d4e,en,Oak Kyin Village Tract,oakkyin,true,false,0110239,postal EN spelling not in primary/alias set,v3,false
9b27b7a8-6f8f-4941-89d4-8835b594338c,en,Pin Lon Village Tract,pinlon,true,false,0111200,postal EN spelling not in primary/alias set,v3,false
08b8a6a3-a696-4cdc-b4a1-ecf60d60549a,en,Maing Poke Village Tract,maingpoke,true,false,0111218,postal EN spelling not in primary/alias set,v3,false
08e2a0f2-01b0-4721-902c-c349f9c55c67,en,Pan Lar Village Tract,panlar,true,false,0111224,postal EN spelling not in primary/alias set,v3,false
5a4897b3-ec71-46f6-800f-688c2b15de96,en,He Lon Village Tract,helon,true,false,0111226,postal EN spelling not in primary/alias set,v3,false
cad14ad7-0bff-42c4-a17b-91f6694a76e5,en,Sin Hpoke Village Tract,sinhpoke,true,false,0112205,postal EN spelling not in primary/alias set,v3,false
41909b4c-8e45-4eac-b20c-ce87d19650f6,en,Pan Khun Yang Village Tract,pankhunyang,true,false,0112233,postal EN spelling not in primary/alias set,v3,false
165786e5-25d0-4b0b-a199-ea1cd6b2fc0e,en,Man Khun Village Tract,mankhun,true,false,0113203,postal EN spelling not in primary/alias set,v3,false
d26e0a64-7941-4e3d-b10a-55352fad26a2,en,Kho Kyin Village Tract,khokyin,true,false,0113205,postal EN spelling not in primary/alias set,v3,false
d6f86d68-0a9c-45c1-bc16-af6a36ce58a5,en,Tar Maing Lon Village Tract,tarmainglon,true,false,0113209,postal EN spelling not in primary/alias set,v3,false
9466f88b-e768-40c7-9852-4e1aab572937,en,He Lon Thit Village Tract,helonthit,true,false,0113210,postal EN spelling not in primary/alias set,v3,false
b36500a5-d2c1-4360-976b-a131630db2fd,en,He Lon Haung Village Tract,helonhaung,true,false,0113211,postal EN spelling not in primary/alias set,v3,false
a962d5e1-bb66-4fc1-8b25-59aa892256cd,en,Sai Kin Village Tract,saikin,true,false,0113212,postal EN spelling not in primary/alias set,v3,false
6fbad08a-0c30-494a-a194-f5a737488bc6,en,Ma Lu La Village Tract,malula,true,false,0113213,postal EN spelling not in primary/alias set,v3,false
77ddaca6-a468-4f53-a0f9-5cdd75e7ed99,en,Sint Kin Village Tract,sintkin,true,false,0113218,postal EN spelling not in primary/alias set,v3,false
174dd2bb-f05e-44c2-8076-7624ddbaa324,en,Thing Ling Village Tract,thingling,true,false,0113219,postal EN spelling not in primary/alias set,v3,false
b96de214-2c45-48f7-80b8-82071b707964,en,Maing Kar Village Tract,maingkar,true,false,0113231,postal EN spelling not in primary/alias set,v3,false
7ab45c7c-5dbf-4cd2-a90c-923dcbfb4f51,en,Kawng Sint Village Tract,kawngsint,true,false,0113236,postal EN spelling not in primary/alias set,v3,false
239afc4d-7c9a-4ebf-9abd-01597187c80b,en,Sin Hkan Village Tract,sinhkan,true,false,0113241,postal EN spelling not in primary/alias set,v3,false
5a61bb20-a210-44e5-bb39-87bdba5f1d4d,en,Nam Ma Hpweit Village Tract,nammahpweit,true,false,0114204,postal EN spelling not in primary/alias set,v3,false
7264fee4-3cae-4dc3-81c2-95521dba2ce6,en,Zein Rong Village Tract,zeinrong,true,false,0114212,postal EN spelling not in primary/alias set,v3,false
4d0f91b9-845a-47d8-8bb7-86fbfdd4a1dc,en,Hka Na Par Village Tract,hkanapar,true,false,0114215,postal EN spelling not in primary/alias set,v3,false
757aeb12-9cfd-4d8f-9a98-623a0afb6c8d,my,ပန်ခမ်း ကျေးရွာအုပ်စု,ပန်ခမ်း,true,false,0114224,postal MM spelling not in primary/alias set,v3,false
757aeb12-9cfd-4d8f-9a98-623a0afb6c8d,en,Pan Hkam Village Tract,panhkam,true,false,0114224,postal EN spelling not in primary/alias set,v3,false
2b821998-4479-498b-b4a0-5e26a9e8135e,en,La Khum Yar Ma Village Tract,lakhumyarma,true,false,0114239,postal EN spelling not in primary/alias set,v3,false
6a7b6b5c-d7c3-426b-8165-f86336f81bc0,en,Pan Choe Hai Village Tract,panchoehai,true,false,0115215,postal EN spelling not in primary/alias set,v3,false
8100e325-f356-461a-a6da-72d301a314d9,en,Maing Hkat Village Tract,mainghkat,true,false,0115219,postal EN spelling not in primary/alias set,v3,false
141e53b9-275c-4fd7-b20a-3733767c526d,en,Num Lang Village Tract,numlang,true,false,0115221,postal EN spelling not in primary/alias set,v3,false
